日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/10/17,400.00,403.50,396.00,397.00,-15.00,"66,589"
111/10/18,406.50,407.00,399.50,407.00,+10.00,"30,538"
111/10/19,404.00,405.00,395.50,395.50,-11.50,"68,211"
111/10/20,391.00,397.50,386.00,397.50,+2.00,"76,430"
111/10/21,395.50,398.50,389.50,389.50,-8.00,"64,043"
111/10/24,395.00,397.50,387.00,387.00,-2.50,"58,612"
111/10/25,380.00,382.50,371.00,371.00,-16.00,"155,200"
111/10/26,370.50,379.00,370.00,376.00,+5.00,"46,073"
111/10/27,384.50,389.00,382.50,385.50,+9.50,"37,777"
111/10/28,379.50,382.00,375.00,379.50,-6.00,"48,116"
111/10/31,386.00,390.00,381.00,390.00,+10.50,"32,816"
111/11/01,388.50,393.00,386.00,391.50,+1.50,"29,780"
111/11/02,391.00,395.00,388.50,395.00,+3.50,"22,285"
111/11/03,385.00,387.00,383.50,384.00,-11.00,"52,660"
111/11/04,381.00,384.50,378.50,382.00,-2.00,"26,895"
111/11/07,390.00,393.00,387.00,390.00,+8.00,"30,880"
111/11/08,395.00,399.50,394.00,399.00,+9.00,"35,956"
111/11/09,403.50,417.00,403.50,417.00,+18.00,"67,569"
111/11/10,409.00,411.50,406.00,407.50,-9.50,"36,471"
111/11/11,441.50,442.00,435.00,441.50,+34.00,"100,349"
111/11/14,450.00,450.00,441.50,445.00,+3.50,"48,957"
111/11/15,465.00,487.00,462.00,480.00,+35.00,"139,136"
111/11/16,491.50,494.00,481.50,487.00,+7.00,"98,338"
111/11/17,482.50,485.00,475.00,485.00,-2.00,"57,331"
111/11/18,491.50,494.00,486.00,487.00,+2.00,"41,694"
111/11/21,487.50,489.50,480.50,482.00,-5.00,"35,815"
111/11/22,476.00,491.00,476.00,491.00,+9.00,"40,964"
111/11/23,494.50,496.00,488.50,492.00,+1.00,"32,889"
111/11/24,494.00,496.00,492.00,496.00,+4.00,"34,387"
111/11/25,494.00,498.00,494.00,498.00,+2.00,"34,399"
111/11/28,486.00,490.00,480.50,480.50,-17.50,"57,163"
111/11/29,473.50,488.00,473.00,487.00,+6.50,"35,929"
111/11/30,483.00,490.00,482.50,490.00,+3.00,"25,325"
111/12/01,506.00,508.00,498.50,498.50,+8.50,"46,181"
111/12/02,490.00,497.00,490.00,492.50,-6.00,"31,799"
111/12/05,491.50,497.50,489.00,489.00,-3.50,"31,739"
111/12/06,488.00,489.00,478.00,478.00,-11.00,"44,448"
111/12/07,477.00,485.50,475.00,475.00,-3.00,"43,603"
111/12/08,475.00,475.00,467.00,471.50,-3.50,"45,114"
111/12/09,478.00,484.50,476.00,481.50,+10.00,"25,790"
111/12/12,476.50,478.00,473.50,475.00,-6.50,"34,393"
111/12/13,473.00,476.00,471.00,471.50,-3.50,"36,559"
111/12/14,472.00,480.50,472.00,480.50,+9.00,"25,102"
111/12/15,476.00,481.50,474.50,480.50,X0.00,"21,052"
111/12/16,466.50,471.00,465.50,471.00,-9.50,"69,011"
111/12/19,466.50,469.50,465.00,466.50,-4.50,"30,247"
111/12/20,465.00,467.00,455.00,457.50,-9.00,"59,543"
111/12/21,460.00,463.00,457.00,459.00,+1.50,"31,581"
111/12/22,466.50,469.00,464.00,468.00,+9.00,"16,893"
111/12/23,457.50,458.50,455.00,455.00,-13.00,"63,532"
